iter	RMSE
0	111.9957759
1	109.4570748
2	106.9156627
3	104.4199655
4	102.1596234
5	99.94526609
6	97.75275933
7	95.56637644
8	93.58678795
9	91.46423002
10	89.76938234
11	87.87435739
12	86.16361773
13	84.39427022
14	82.9136581
15	81.22623411
16	79.57061332
17	77.95206742
18	76.59425903
19	75.12880161
20	73.70265777
21	72.31919644
22	70.8476663
23	69.45885056
24	68.12681915
25	66.77626494
26	65.44953361
27	64.19884941
28	63.12932422
29	62.0096244
30	60.8536377
31	59.80632197
32	58.76284199
33	57.77717009
34	56.76248903
35	55.77759143
36	54.90239832
37	53.96021775
38	53.13922973
39	52.16785938
40	51.32771233
41	50.50534267
42	49.55956798
43	48.78053516
44	48.0177537
45	47.26979927
46	46.56092068
47	45.80809072
48	45.02966775
49	44.28338059
50	43.64156563
51	42.95704046
52	42.23857553
53	41.57901142
54	40.92925096
55	40.30200446
56	39.75453683
57	39.14132108
58	38.55919303
59	37.96505437
60	37.43136139
61	36.83847755
62	36.35308466
63	35.85741569
64	35.38418337
65	34.89603203
66	34.42236955
67	33.9712635
68	33.49368453
69	33.07206536
70	32.60982844
71	32.16179683
72	31.78060039
73	31.3724887
74	30.95458636
75	30.53453468
76	30.15746598
77	29.75101652
78	29.37739885
79	28.9643748
80	28.61767822
81	28.26068895
82	27.93010799
83	27.59949539
84	27.26793054
85	26.94854842
86	26.64090317
87	26.35011651
88	26.00360534
89	25.733467
90	25.44640979
91	25.14676689
92	24.83217077
93	24.49659991
94	24.24007935
95	23.94675216
96	23.67311394
97	23.4024676
98	23.11312539
99	22.85562201
100	22.61403716
101	22.36532139
102	22.1119794
103	21.92478319
104	21.62676579
105	21.37890947
106	21.14137475
107	20.96081736
108	20.74385612
109	20.55265514
110	20.3472921
111	20.10416836
112	19.86370614
113	19.63485206
114	19.42813518
115	19.21955121
116	19.04037841
117	18.85198466
118	18.64113383
119	18.4163436
120	18.21935751
121	18.05140135
122	17.85100542
123	17.65718884
124	17.4662972
125	17.29419299
126	17.11274723
127	16.92812439
128	16.73075258
129	16.58848099
130	16.41782012
131	16.24809749
132	16.09242849
133	15.91719736
134	15.7580201
135	15.60973672
136	15.43137113
137	15.26856764
138	15.1039959
139	14.95128764
140	14.82749442
141	14.67650834
142	14.54312601
143	14.40500985
144	14.29938055
145	14.16447262
146	14.01123223
147	13.8750489
148	13.74602284
149	13.62254939
150	13.48599384
151	13.34943908
152	13.22589898
153	13.09590047
154	12.97473268
155	12.87884521
156	12.76812857
157	12.66115102
158	12.53489201
159	12.4262437
160	12.32331386
161	12.21312855
162	12.0981925
163	11.98931872
164	11.88141058
165	11.79246146
166	11.69834537
167	11.59254657
168	11.51061954
169	11.41536775
170	11.32216241
171	11.2333047
172	11.14449677
173	11.03536257
174	10.9476242
175	10.85785694
176	10.77140049
177	10.67578431
178	10.59005661
179	10.510631
180	10.42623254
181	10.34624561
182	10.25245123
183	10.16585533
184	10.08777548
185	10.01808629
186	9.956021719
187	9.882717083
188	9.798723242
189	9.718935355
190	9.645093863
191	9.580629496
192	9.504505291
193	9.445099328
194	9.387582477
195	9.324445675
196	9.260585093
197	9.190033348
198	9.126377917
199	9.058477121
200	8.995726318
201	8.93567815
202	8.874705318
203	8.80965124
204	8.759975537
205	8.703508465
206	8.646462605
207	8.596275465
208	8.544298171
209	8.492177768
210	8.441784778
211	8.390737123
212	8.33883474
213	8.284673063
214	8.230610746
215	8.183047153
216	8.128038009
217	8.083564232
218	8.028067525
219	7.982822702
220	7.939806886
221	7.893592497
222	7.858221583
223	7.818622884
224	7.782134636
225	7.741083649
226	7.698419914
227	7.653810391
228	7.613651994
229	7.570221991
230	7.532621112
231	7.500907844
232	7.465853688
233	7.431685579
234	7.397431158
235	7.366662038
236	7.337399086
237	7.305401489
238	7.265813591
239	7.233332335
240	7.192121105
241	7.166685131
242	7.126598792
243	7.095324265
244	7.057540409
245	7.019617906
246	6.983892723
247	6.957152908
248	6.934898952
249	6.912858187
250	6.880882662
251	6.859089945
252	6.822752814
253	6.795560854
254	6.764257859
255	6.739566943
256	6.711277748
257	6.689574719
258	6.664360626
259	6.629139086
260	6.607125226
261	6.57552334
262	6.542758577
263	6.524839471
264	6.506697799
265	6.482617915
266	6.443220688
267	6.426531348
268	6.407638907
269	6.381380944
270	6.366564851
271	6.34141367
272	6.320250472
273	6.305057313
274	6.26178783
275	6.245963816
276	6.231960108
277	6.21296793
278	6.174795222
279	6.161985882
280	6.140348614
281	6.118529675
282	6.0898953
283	6.065349198
284	6.033826551
285	6.019465002
286	5.996085888
287	5.975585112
288	5.952287238
289	5.936583549
290	5.920064786
291	5.90772208
292	5.893125532
293	5.871080077
294	5.860997306
295	5.838148344
296	5.825160515
297	5.797558964
298	5.770427468
299	5.760457286
300	5.751493766
301	5.73526058
302	5.724486117
303	5.703432973
304	5.695667346
305	5.682022111
306	5.658630396
307	5.65062331
308	5.644073428
309	5.616816115
310	5.60847445
311	5.580753215
312	5.572689335
313	5.553490403
314	5.546663031
315	5.522176001
316	5.513979517
317	5.497584139
318	5.474072158
319	5.455375495
320	5.433521217
321	5.427183325
322	5.405263089
323	5.380477674
324	5.375055806
325	5.356825967
326	5.348280155
327	5.330073496
328	5.32607447
329	5.316126396
330	5.312302626
331	5.308555865
332	5.294371288
333	5.288818105
334	5.28525601
335	5.265714708
336	5.26121984
337	5.256213248
338	5.241599365
339	5.237332688
340	5.23016957
341	5.207937864
342	5.195602337
343	5.191020508
344	5.170010778
345	5.165211575
346	5.147717971
347	5.143463908
348	5.125466748
349	5.119357826
350	5.100162815
351	5.096153389
352	5.090308261
353	5.073595615
354	5.051919329
355	5.032733293
356	5.028493647
357	5.007869494
358	4.991241369
359	4.988794816
360	4.973440101
361	4.970765822
362	4.951627966
363	4.937305142
364	4.933325598
365	4.929628667
366	4.911572447
367	4.904847126
368	4.90154838
369	4.899159508
370	4.888159193
371	4.878211161
372	4.871723172
373	4.868842912
374	4.85292685
375	4.849411849
376	4.836561766
377	4.826004445
378	4.813011479
379	4.798009054
380	4.784713131
381	4.780213403
382	4.765174762
383	4.762502648
384	4.748613033
385	4.732823579
386	4.717055805
387	4.708614008
388	4.694974907
389	4.681158116
390	4.678603965
391	4.676121928
392	4.661672977
393	4.643736537
394	4.627074162
395	4.613726474
396	4.599017875
397	4.591895345
398	4.580016744
399	4.564389616
400	4.549935164
401	4.534001925
402	4.531715835
403	4.520056623
404	4.509280337
405	4.493912022
406	4.481223748
407	4.469225274
408	4.460456608
409	4.443459005
410	4.435204855
411	4.429127123
412	4.412666098
413	4.405360501
414	4.400996645
415	4.385912488
416	4.374836054
417	4.365136834
418	4.35835971
419	4.348039215
420	4.345435082
421	4.339906448
422	4.327886895
423	4.313916448
424	4.308959405
425	4.2964353
426	4.283584922
427	4.281817825
428	4.27672506
429	4.275025405
430	4.263335055
431	4.251335838
432	4.24265231
433	4.230299944
434	4.217871999
435	4.204400667
436	4.198312515
437	4.183403545
438	4.169904252
439	4.166224307
440	4.15248784
441	4.146273767
442	4.131615895
443	4.121574601
444	4.110584576
445	4.099484999
446	4.091241495
447	4.088370744
448	4.086704111
449	4.074326587
450	4.064194435
451	4.059058309
452	4.052824852
453	4.036257912
454	4.028714472
455	4.020468255
456	4.013286856
457	4.010598956
458	3.99938642
459	3.986407529
460	3.975042075
461	3.959706515
462	3.952785735
463	3.942054605
464	3.931727135
465	3.928049212
466	3.915224254
467	3.91368205
468	3.905574424
469	3.896726912
470	3.895037777
471	3.887712411
472	3.876184898
473	3.862766395
474	3.854365098
475	3.852539449
476	3.850855049
477	3.843874999
478	3.835388744
479	3.825089978
480	3.81670877
481	3.809692359
482	3.805195552
483	3.793744128
484	3.785931393
485	3.776432633
486	3.766464676
487	3.758542241
488	3.757105492
489	3.755808641
490	3.751417745
491	3.75010371
492	3.745559641
493	3.734385913
494	3.733107858
495	3.722640937
496	3.721204243
497	3.709804003
498	3.698451538
499	3.687643511
500	3.678716938
501	3.669684808
502	3.660303047
503	3.651597487
504	3.64287179
505	3.641665128
506	3.640372935
507	3.630371831
508	3.628905356
509	3.619346418
510	3.610399652
511	3.602620064
512	3.597973306
513	3.590661544
514	3.589503145
515	3.580778398
516	3.570176562
517	3.569044567
518	3.560054207
519	3.551893774
520	3.544429252
521	3.538058317
522	3.529028583
523	3.51776048
524	3.513479384
525	3.512369363
526	3.501832845
527	3.49374157
528	3.489424792
529	3.488245005
530	3.483493545
531	3.480079644
532	3.472444022
533	3.459847918
534	3.452813961
535	3.444337235
536	3.439308308
537	3.434379196
538	3.429848492
539	3.423858818
540	3.412199372
541	3.401750688
542	3.393795886
543	3.387729849
544	3.381195646
545	3.380051141
546	3.378786478
547	3.369280805
548	3.367763636
549	3.366708325
550	3.35914882
551	3.357840616
552	3.349768594
553	3.341001174
554	3.336697935
555	3.335431084
556	3.334249927
557	3.325085848
558	3.319271474
559	3.311416983
560	3.304339782
561	3.297079691
562	3.288814306
563	3.282133367
564	3.27452151
565	3.271119392
566	3.268404709
567	3.259553699
568	3.251801814
569	3.246334069
570	3.240783722
571	3.233150015
572	3.219988714
573	3.214296829
574	3.209103704
575	3.202506088
576	3.201773988
577	3.193234748
578	3.186532502
579	3.176169633
580	3.164501801
581	3.156073145
582	3.149274882
583	3.139589636
584	3.136212589
585	3.131352987
586	3.130215834
587	3.123071048
588	3.114848082
589	3.108875335
590	3.104901436
591	3.093199428
592	3.085512503
593	3.080107384
594	3.07480714
595	3.067407406
596	3.059038552
597	3.050995536
598	3.04437188
599	3.038277719
600	3.033926642
601	3.027867896
602	3.027051017
603	3.021920696
604	3.016250051
605	3.011220538
606	3.004515104
607	2.998704828
608	2.993345564
609	2.983538137
610	2.979488783
611	2.97517056
612	2.971079536
613	2.961402915
614	2.960491325
615	2.956867618
